English lemma,Swedish lemma,POS,status
syntax,syntax,N,automatically verified
syntax analysis,syntaxanalys,NP,automatically verified
syntax,syntax,N,automatically verified
system architecture,systemarkitekturer,NP,automatically verified
system design flow,systemdesign flöde,NP,suspected särskriving
system evaluation,systemutvärdering,NP,automatically verified
system management,systemförvaltning,NP,automatically verified
system modeling,systemmodellering,NP,automatically verified
system requirement,systemkrav,NP,automatically verified
system specification,systemspecifikation,NP,automatically verified
system support,systemstöd,NP,automatically verified
system system,systemets system,NP,suspected särskriving
system test,systemprovning,NP,automatically verified
system testing,systemtest,NP,automatically verified
system under test,systemet som testas,NP,no processing rule for swedish POS sequence
system verification,systemverifiering,NP,automatically verified
system,system,N,automatically verified
systematic,systematisk,A,automatically verified
system,system,N,automatically verified
system,system,N,automatically verified
systems development,systemutveckling,NP,automatically verified
systems integration,systemintegration,NP,automatically verified
systems specification methodology,metoder för systemspecificering,NP,no processing rule for swedish POS sequence
systems theory,systemteori,NP,automatically verified
systems thinking,systemtänkande,NP,automatically verified
table,tabell,N,automatically verified
table,tabell,N,automatically verified
tag,tagg,N,automatically verified
take takes taking,ta tar tagande,NP,no processing rule for swedish POS sequence
talent management,talent förvaltning,NP,could not lemmatize swedish adjective
talk talks talking,prata samtal talar,NP,no processing rule for swedish POS sequence
tamper tampering,manipulera manipulering,NP,no processing rule for swedish POS sequence
tape drive,bandstation,NP,automatically verified
target target,målgrupp mål,NP,suspected särskriving
targeted targeting,riktade riktar,NP,no processing rule for swedish POS sequence
task,arbetsuppgift,N,automatically verified
teach,lära,V,automatically verified
taxation,beskattning,N,automatically verified
taxing taxation,beskatta beskattning,NP,no processing rule for swedish POS sequence
taxi,taxibil,N,automatically verified
teach,undervisa,V,automatically verified
teaching,lärande,N,automatically verified
team,lag,N,automatically verified
teamwork,team,N,automatically verified
tear,riva,V,automatically verified
technical,teknisk,A,automatically verified
technical,teknisk,A,automatically verified
technical documentation,teknisk dokumentation,NP,automatically verified
technical technically,tekniskt tekniskt,NP,no processing rule for swedish POS sequence
technique,teknik,N,automatically verified
technological,teknisk,A,automatically verified
technological,teknologisk,A,automatically verified
technological change,teknisk förändring,NP,automatically verified
technology diffusion,teknikspridning,NP,automatically verified
technology technology,teknologi tekniker,NP,suspected särskriving
technology technology,teknologi teknologier,NP,suspected särskriving
technology,teknologi,N,automatically verified
telecommunication service,telekommunikationstjänst,NP,automatically verified
telecommunication telecommunication,telekommunikation telekommunikation,NP,suspected särskriving
telegraph,telegraf,N,automatically verified
tell,berätta,V,automatically verified
temperature,temperatur,N,automatically verified
template,mall,N,automatically verified
temporal,temporal,A,automatically verified
temporal logic,tidslogik,NP,automatically verified
temporal temporally,temporala tidsmässigt,NP,no processing rule for swedish POS sequence
temporary temporarily,tillfällig tillfälligt,NP,no processing rule for swedish POS sequence
tenant,hyresgäst,N,automatically verified
tenfold cross validation,tiofaldigt korsvalidering,NP,no processing rule for swedish POS sequence
term term,term termer,NP,suspected särskriving
term,term,N,automatically verified
terminal management,terminalhantering,NP,automatically verified
terminology,terminologi,N,automatically verified
terrain,terräng,N,automatically verified
test analysis,provning analys,NP,suspected särskriving
test automation,testautomatisering,NP,automatically verified
test component,testkomponent,NP,automatically verified
test framework,ramverk för testning,NP,no processing rule for swedish POS sequence
test generation,testgenerering,NP,automatically verified
test generation,testgenerering,NP,automatically verified
test generation,testgenerering,NP,automatically verified
test generation,testgenerering,NP,automatically verified
test generation,testgenerering,NP,automatically verified
test generation,testgenerering,NP,automatically verified
test generation,testgenerering,NP,automatically verified
test oracle,prov orakel,NP,suspected särskriving
test sequence,testsekvens,NP,automatically verified
test suite,testsvit,NP,automatically verified
test tests testing,prov provningar provning,NP,suspected särskriving
test,testa,V,automatically verified
test,test,N,automatically verified
test-driven development,testdriven utveckling,NP,automatically verified
testing,provning,N,automatically verified
testing,provning,N,automatically verified
text,text,N,automatically verified
text analysis,textanalys,NP,automatically verified
text conversation,text konversation,NP,suspected särskriving
text editing,skrivsätt,NP,automatically verified
text editor,textredigerare,NP,automatically verified
text processing,textbehandling,NP,automatically verified
text,text,N,automatically verified
texture,textur,N,automatically verified
texture,textur,N,automatically verified
thematic analysis,tematisk analys,NP,automatically verified
theme,tema,N,automatically verified
theorem,sats,N,automatically verified
theoretical,teoretisk,A,automatically verified
theoretical,teoretisk,A,automatically verified
theory,teori,N,automatically verified
theory,teori,N,automatically verified
theory,teori,N,automatically verified
thermal decomposition,termisk nedbrytning,NP,automatically verified
thermal sensor,värmesensor,NP,automatically verified
thermometer,termometer,N,automatically verified
thesis thesis,avhandling avhandlingar,NP,suspected särskriving
thesis,tes,N,automatically verified
thing thing,sak saker,NP,suspected särskriving
thinks thinking,tänker tänkande,NP,no processing rule for swedish POS sequence
third party,tredje man,NP,no processing rule for swedish POS sequence
third party development,tredjepartsutveckling,NP,automatically verified
thread,tråd,N,automatically verified
three-dimensional display,tredimensionell visningsenhet,NP,automatically verified
threshold,tröskel,N,automatically verified
threshold cryptography,tröskelkryptografi,NP,automatically verified
throughput,genomströmning,N,automatically verified
throughput,genomströmning,N,automatically verified
throw,kasta,V,automatically verified
